日付,TIF,移動元,移動先,回答数
2026-01-18,石川,白山比咩神社,小松空港,1
2026-01-18,石川,県立図書館,石川県観光物産館,1
2026-01-18,石川,道の駅千里浜,のとじま水族館,1
2026-01-18,福井,あわら湯のまち エリア,三国サンセットビーチ,1
2026-01-18,福井,えちぜん鉄道 松岡駅 エリア,一乗谷朝倉氏遺跡,1
2026-01-18,福井,ふれあいパーク三里浜(道の駅「みくに」),あわら湯のまち エリア,1
2026-01-18,福井,レインボーライン,小浜市 阿納 エリア,1
2026-01-18,福井,一乗谷朝倉氏遺跡 エリア,道の駅「南えちぜん山海里」,1
2026-01-18,福井,北の庄城址・柴田公園,名勝 養浩館庭園 エリア,1
2026-01-18,福井,北潟湖畔公園・サイクリングパーク,あわら湯のまち エリア,1
2026-01-18,福井,名勝 養浩館庭園 エリア,福井県立恐竜博物館,1
2026-01-18,福井,大本山 永平寺 エリア,あわら温泉街,1
2026-01-18,福井,大本山 永平寺 エリア,福井駅,1
2026-01-18,福井,大本山永平寺,えちぜん鉄道 松岡駅 エリア,2
2026-01-18,福井,大本山永平寺,大本山 永平寺 エリア,1
2026-01-18,福井,大本山永平寺,東尋坊 エリア,2
2026-01-18,福井,日本海さかな街,越前そばの里 エリア,1
2026-01-18,福井,東尋坊 エリア,あわら温泉街,1
2026-01-18,福井,東尋坊 エリア,三國湊レトロ,1
2026-01-18,福井,氣比神宮,日本海さかな街 エリア,2
2026-01-18,福井,福井駅,一乗谷朝倉氏遺跡 エリア,1
2026-01-18,福井,福井駅,大本山 永平寺 エリア,1
2026-01-18,福井,福井駅前 エリア（宿泊施設）,越前和紙の里,1
2026-01-18,福井,越前がにミュージアム,越前そばの里 エリア,1
2026-01-18,福井,越前そばの里 エリア,日本海さかな街,1
2026-01-18,福井,越前そばの里 エリア,道の駅「南えちぜん山海里」,1
